Date,Temp,MaxTemp,MinTemp,WindDir,WindSpeed,Humidity,Pressure,Rainfall,RainToday
3/16/2015,16.6,22.4,10.8,132.875,1.65,63.2,860.54475,2.3,Yes
3/17/2015,16.65,24.5,8.8,234.6875,1.366666667,62.05,859.6752917,0,No
3/18/2015,17.25,25.5,9,145.8333333,1.1875,59.95,860.0857083,0,No
3/19/2015,16.4,25.3,7.5,206.5416667,1.120833333,62.45,862.7996667,0,No
3/20/2015,16.6,24.8,8.4,219.6956522,1.4125,64.45,863.5176667,0,No
3/21/2015,18.75,27,10.5,218.125,1.633333333,57.35,861.406625,0,No
3/22/2015,19.25,27.1,11.4,171.0416667,1.291666667,55.25,860.262,0,No
3/23/2015,20.35,28.2,12.5,153.25,1.829166667,54.65,861.54475,0,No
3/24/2015,19.5,27.5,11.5,150.6666667,1.95,53.75,862.57575,7,Yes
3/25/2015,20.5,27.5,13.5,165.7083333,1.454166667,55.75,863.8734583,1.4,Yes
3/26/2015,21.3,28.6,14,175.75,1.891666667,63.15,863.2107083,0,No
3/27/2015,21.2,28,14.4,139.75,1.3375,67.3,862.562,27.8,Yes
3/28/2015,17.3,22.8,11.8,149.0416667,1.370833333,62.6,861.321875,1.3,Yes
3/29/2015,20.9,27.3,14.5,240.875,1.466666667,68.35,859.64825,0,No
3/30/2015,19.8,27.6,12,209.25,1.4,54.35,859.1418333,0,No
3/31/2015,14.1,17.7,10.5,136.375,1.083333333,47.4,859.421125,11.5,Yes
4/1/2015,17.5,24,11,184.0416667,1.179166667,40.55,858.733625,0,No
4/2/2015,19.5,26.8,12.2,113.9583333,1.65,34.9,858.51,0,No
4/3/2015,19.4,26.3,12.5,197.875,1.479166667,44.75,860.36525,0,No
4/4/2015,18.9,27.3,10.5,155.4166667,1.145833333,37.55,855.6133529,7.5,Yes
4/5/2015,18.1,27.2,9,159.75,1.379166667,50.2,855.946125,3.3,Yes
4/6/2015,18.6,27,10.2,194.75,1.283333333,58.85,858.289875,0,No
4/7/2015,19.5,27.5,11.5,144.9583333,1.608333333,50.9,859.0694167,0,No
4/8/2015,17.6,25,10.2,148,1.933333333,51.4,859.3232083,0,No
4/9/2015,19.5,28.5,10.5,147.125,1.125,58.35,859.3378333,0,No
4/10/2015,19.75,28.5,11,139.375,1.941666667,41.55,859.8932083,0,No
4/11/2015,20.5,29,12,123.2083333,1.775,50,859.850375,0,No
4/12/2015,20.7,29.4,12,98.04166667,2.1,52.25,860.9439583,0,No
4/13/2015,19.85,26.2,13.5,154,1.6,67.4,861.8301667,7.2,Yes
4/14/2015,15.2,18,12.4,134.8333333,2.191666667,78.9,860.29675,2.7,Yes
4/15/2015,19.25,25,13.5,148.875,2.2,78.8,860.17525,0,No
4/16/2015,18.6,25,12.2,176.2083333,1.940909091,74.45,862.7801667,1,Yes
4/17/2015,20.4,27.8,13,153.9166667,1.608333333,60.8,863.7710417,0,No
4/18/2015,18.75,24.5,13,126.5833333,1.239130435,58.65,861.7579167,10.2,Yes
4/19/2015,19.35,25.7,13,149.4166667,1.317647059,47.45,858.8384583,0,No
4/20/2015,22.7,28.6,16.8,196.8333333,1.513333333,38,857.3754583,0,No
4/21/2015,23.25,29,17.5,129.0416667,1.566666667,34.4,857.49475,0,No
4/22/2015,21.5,29.5,13.5,128.8333333,1.493333333,35.7,858.9308333,2.9,Yes
4/23/2015,19.9,28.6,11.2,221,2.183333333,45.75,860.469875,0.3,Yes
4/24/2015,21.2,29.4,13,184.625,2.191666667,54.45,861.8155417,0,No
4/25/2015,20.65,26.8,14.5,206.8333333,1.55,62.8,861.4905417,0,No
4/26/2015,18.1,22.2,14,200.7083333,1.975,84.85,859.7802083,0,No
4/27/2015,18.8,25.6,12,133.2916667,1.2625,75.75,859.8121667,4.3,Yes
4/28/2015,20.15,25.8,14.5,155.25,1.483333333,67.15,861.496,0,No
4/29/2015,17.55,23.5,11.6,120.5909091,1.816666667,81.65,861.0711667,3,Yes
4/30/2015,19.55,24.4,14.7,160.5833333,2.05,72.95,861.6218333,8.6,Yes
5/1/2015,18.9,24.4,13.4,132.1666667,2.0125,74.7,864.0135417,0.5,Yes
5/2/2015,22.4,29.2,15.6,116.2941176,1.554166667,90,864.1052083,0,No
5/3/2015,21,29.6,12.4,157.4,1.020833333,73.4,863.0668333,0,No
5/4/2015,21.1,29.8,12.4,184.375,1.304166667,75.9,862.701625,0,No
5/5/2015,22,31,13,172.1333333,1.358333333,66.1,863.8765417,0,No
5/6/2015,22.1,30.8,13.4,165.0833333,2.15,60.5,863.896125,0,No
5/7/2015,23.75,30.5,17,156.2916667,1.1,49.65,861.9585833,0,No
5/8/2015,23.75,31,16.5,159.25,1.35,44.85,860.2357083,0,No
5/9/2015,23.2,28.2,18.2,145.9166667,1.454166667,45.6,859.0266667,0.5,Yes
5/10/2015,21.15,26.3,16,121.9166667,1.316666667,39.2,858.8993333,5.1,Yes
5/11/2015,22.45,28.9,16,130.375,1.608333333,45.25,857.9398333,115.5,Yes
5/12/2015,22.6,30.7,14.5,135.25,2.208333333,53.5,857.6415,17,Yes
5/13/2015,23.85,29.8,17.9,170.875,1.704166667,58.2,858.135,0,No
5/14/2015,23.8,30,17.6,180.3333333,1.216666667,84.9,858.868375,0,No
5/15/2015,25.5,31,20,159.9583333,1.8,65.4,858.9585833,0,No
5/16/2015,24.15,29.8,18.5,205.9166667,1.8875,57.7,857.1233333,0,No
5/17/2015,23,29.5,16.5,200.75,1.6375,56.15,856.592625,2,Yes
5/18/2015,23.8,29.8,17.8,173.375,1.359090909,57.05,856.9257083,0,No
5/19/2015,22.8,29,16.6,199.875,1.1875,80.8,857.4815,0,No
5/20/2015,25,30,20,193.0833333,1.2375,79.7,858.429125,0.2,Yes
5/21/2015,26.1,32,20.2,144.5416667,1.5625,65.2,858.5932917,0,No
5/22/2015,23.9,31,16.8,160.625,1.658333333,69.8,858.3016667,0,No
5/23/2015,25,32.5,17.5,173,1.525,80.7,860.1508333,0,No
5/24/2015,23.25,33,13.5,120.8333333,1.5125,70.55,860.7170417,4.4,Yes
5/25/2015,24.75,32.5,17,170.3333333,0.9625,61.5,860.84375,0,No
5/26/2015,23.75,32.3,15.2,125.875,1.108333333,58.6,859.8921111,7.3,Yes
5/27/2015,23.1,31.2,15,210.5,1.7125,63.1,860.741625,3.4,Yes
5/28/2015,23.85,31.2,16.5,180.8333333,1.995652174,71.15,862.0766667,0,No
5/29/2015,25.35,31.2,19.5,131.125,1.6875,76.2,862.7098889,0,No
5/30/2015,25.4,31,19.8,195.5833333,1.916666667,61.15,861.4885,0,No
5/31/2015,25.5,31.5,19.5,182.7083333,1.6,59.05,859.6474167,0,No
6/1/2015,25.7,33,18.4,177.9166667,1.630434783,51.65,860.6253333,0,No
6/2/2015,25.75,33.5,18,145.0416667,1.545833333,49.1,861.6912083,0,No
6/3/2015,26,33.5,18.5,141.2727273,1.241666667,61.95,859.7004167,0,No
6/4/2015,26.75,33.5,20,142.9583333,1.604166667,55.2,858.4129167,1.5,Yes
6/5/2015,24,29.5,18.5,112.3333333,1.4,73.6,860.8176667,0.5,Yes
6/6/2015,25.45,32,18.9,132.9583333,1.429166667,71.4,862.9488333,0,No
6/7/2015,26.75,35,18.5,107.0833333,2.075,64.05,862.8037917,0,No
6/8/2015,26.75,34.5,19,99.625,1.95,76.7,861.44,0,No
6/9/2015,27.65,34.3,21,160.75,1.7,76.15,861.7850833,0,No
6/10/2015,27.3,34.6,20,184.9166667,1.558333333,76.05,864.383375,6,Yes
6/11/2015,26,32,20,209,1.791666667,78.6,865.2302083,0.5,Yes
6/12/2015,26.1,32,20.2,219.0434783,1.775,82.45,862.8912917,5.6,Yes
6/13/2015,24.2,31,17.4,114.8333333,1.704166667,78.45,861.791875,15.5,Yes
6/14/2015,24.75,30.5,19,165.3333333,1.575,83.25,860.407375,1.6,Yes
6/15/2015,24.35,30.2,18.5,181.3333333,1.504166667,75.8,857.883625,0,No
6/16/2015,25.1,31.2,19,144.9090909,1.533333333,77.9,858.8669583,2.9,Yes
6/17/2015,24.25,29,19.5,128.4583333,1.516666667,85.1,861.8336667,5.5,Yes
6/18/2015,25.8,30.8,20.8,142.2916667,1.366666667,86.3,861.3614167,0.5,Yes
6/19/2015,26.35,32,20.7,103.5,1.75,73.9,863.5489167,2.6,Yes
6/20/2015,25.85,31.5,20.2,148.3333333,1.1625,72.15,865.3489167,29,Yes
6/21/2015,26,31,21,135.2916667,1.295833333,69.3,866.1795,19.4,Yes
6/22/2015,25.75,31.3,20.2,140.25,2.370833333,64.4,864.4197083,0,No
6/23/2015,24.85,29.2,20.5,125.2083333,1.85,77.05,863.3766667,1.8,Yes
6/24/2015,25.5,31,20,145.9583333,1.5875,84.55,862.6225,2.3,Yes
6/25/2015,25,30,20,176.125,2.170833333,73.15,861.4572083,4.5,Yes
6/26/2015,26.45,31.5,21.4,105.6666667,1.516666667,69.2,862.4002917,5,Yes
6/27/2015,25.95,31.5,20.4,179,1.520833333,83.85,865.101625,14.4,Yes
6/28/2015,24.45,28.4,20.5,197.2916667,1.85,86.8,865.8865833,6.5,Yes
6/29/2015,23.25,27.5,19,197.625,1.616666667,79.45,864.3655,0,No
6/30/2015,25.7,30.4,21,198.4166667,1.508333333,75.4,864.0912083,0,No
7/1/2015,25,30.6,19.4,168.7916667,1.545833333,77.25,864.3439583,13.8,Yes
7/2/2015,24.75,29,20.5,146.5416667,1.454166667,88.05,863.27875,58.4,Yes
7/3/2015,24.5,29,20,143,1.3125,86.1,861.1753333,2.2,Yes
7/4/2015,25.7,30.2,21.2,97.5,1.3375,80.55,861.9113333,0,No
7/5/2015,25.35,29.5,21.2,164.6666667,1.416666667,88.7,863.9704167,16.6,Yes
7/6/2015,24.5,29,20,153.2083333,1.35,86.6,865.0650417,28.5,Yes
7/7/2015,24.05,28.6,19.5,187.25,1.347826087,85.45,863.4399167,28,Yes
7/8/2015,24.1,28,20.2,119.9583333,1.4125,90.25,863.2284167,7.8,Yes
7/9/2015,25.1,30.2,20,124.3333333,1.325,83.5,864.412125,11,Yes
7/10/2015,24.75,29.5,20,97.375,1.370833333,78.7,865.3160417,11.7,Yes
7/11/2015,24.55,28.6,20.5,171.3333333,1.216666667,86.5,865.1217917,0.2,Yes
7/12/2015,24.5,29,20,219.7916667,1.129166667,82.95,863.9239167,0,No
7/13/2015,26.2,31,21.4,220.25,1.165217391,88.55,864.0550833,0,No
7/14/2015,27.1,32.4,21.8,201.0416667,1.429166667,75.25,865.5397083,0,No
7/15/2015,26.05,30.4,21.7,140,1.904166667,92.8,865.3378333,3.4,Yes
7/16/2015,24.45,27.5,21.4,141.25,1.641666667,78.05,864.626,85.2,Yes
7/17/2015,24.35,27.7,21,159.8333333,1.382608696,82.35,865.158625,1.4,Yes
7/18/2015,24.5,29.8,19.2,146.7083333,1.483333333,71.9,865.6516667,22.4,Yes
7/19/2015,24.75,29.5,20,170.9166667,1.204166667,72.8,866.8051667,13.4,Yes
7/20/2015,21,29.5,12.5,170.4583333,1.183333333,76.95,866.862125,37.8,Yes
7/21/2015,23.95,28.9,19,153.6666667,1.383333333,81.6,866.9676667,13,Yes
7/22/2015,24.1,29.2,19,155,1.391666667,83.1,865.9592917,14.1,Yes
7/23/2015,24.45,28.5,20.4,148.0833333,1.22173913,91.3,864.0315833,1.4,Yes
7/24/2015,25,29.7,20.3,144.875,1.220833333,87.55,862.9204583,8,Yes
7/25/2015,25.1,30.2,20,153.9583333,1.37,95.45,864.0559167,13.4,Yes
